counts,cluster,accession,accession,evalue,bitscore,alignment_length,percentage_identity,taxonomic_annotation
barcode01,cluster13,KC488368.1.1648,KC488368.1.1648,0.0,1092,605,100.0,"Eukaryota,SAR,Alveolata,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,Pelagostrobilidium,uncultured ciliate"
barcode01,cluster9,LC375248.1.1771,LC375248.1.1771,0.0,1127,629,99.841,"Eukaryota,SAR,Rhizaria,Cercozoa,Chlorarachniophyta,uncultured,Rhabdamoeba marina"
barcode01,cluster31,KX602073.1.1674,KX602073.1.1674,0.0,1078,602,99.834,"Eukaryota,Archaeplastida,Chloroplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Ostreococcus,uncultured Mamiellophyceae"
barcode01,cluster21,AACY023233388.1.1412,AACY023233388.1.1412,0.0,1078,602,99.834,"Eukaryota,Archaeplastida,Chloroplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Ostreococcus,marine metagenome"
barcode01,cluster2,MG018339.1.2290,MG018339.1.2290,0.0,970,540,99.815,"Eukaryota,SAR,Alveolata,Ciliophora,Intramacronucleata,Litostomatea,Mesodiniidae,Myrionecta,Mesodinium rubrum"
barcode01,cluster3,MG018339.1.2290,MG018339.1.2290,0.0,960,537,99.628,"Eukaryota,SAR,Alveolata,Ciliophora,Intramacronucleata,Litostomatea,Mesodiniidae,Myrionecta,Mesodinium rubrum"
barcode01,cluster15,JX457427.1.1550,JX457427.1.1550,0.0,1115,629,99.523,"Eukaryota,SAR,Rhizaria,Cercozoa,Chlorarachniophyta,uncultured,uncultured eukaryote"
barcode01,cluster10,LC375244.1.1725,LC375244.1.1725,0.0,1105,626,99.521,"Eukaryota,SAR,Rhizaria,Cercozoa,Chlorarachniophyta,Minorisa,Minorisa sp. Y-YKI-01"
barcode01,cluster17,KJ760672.1.1797,KJ760672.1.1797,0.0,1095,618,99.515,"Eukaryota,SAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gyrodinium,uncultured eukaryote"
barcode01,cluster27,KP404849.1.1702,KP404849.1.1702,0.0,1095,618,99.515,"Eukaryota,SAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gyrodinium,uncultured eukaryote"
barcode01,cluster6,FM244843.1.1766,FM244843.1.1766,0.0,1087,616,99.513,"Eukaryota,Amorphea,Obazoa,Opisthokonta,Holozoa,Choanozoa,Metazoa,Animalia,BCP clade,Bilateria,Deuterostomia,Chordata,Tunicata,Ascidiacea,Enterogona,Ascidiella sp. TG-2008"
barcode01,cluster22,FR874393.1.1787,FR874393.1.1787,0.0,1091,614,99.511,"Eukaryota,SAR,Stramenopiles,Ochrophyta,Chrysophyceae,uncultured,uncultured marine picoeukaryote"
barcode01,cluster7,KY980204.1.1664,KY980204.1.1664,0.0,1080,612,99.51,"Eukaryota,Cryptophyceae,Cryptomonadales,uncultured,Teleaulax amphioxeia"
barcode01,cluster4,HQ658161.1.1742,HQ658161.1.1742,0.0,1085,612,99.51,"Eukaryota,SAR,Alveolata,Protalveolata,Syndiniales,Amoebophrya,Amoebophrya sp. RCC 1626"
barcode01,cluster11,DQ317115.1.1756,DQ317115.1.1756,0.0,1162,662,99.396,"Eukaryota,Amorphea,Obazoa,Opisthokonta,Holozoa,Choanozoa,Metazoa,Animalia,BCP clade,Bilateria,Protostomia,Lophotrochozoa,Annelida,Polychaeta,Palpata,Sabellida,Ficopomatus enigmaticus"
barcode01,cluster8,LC375244.1.1725,LC375244.1.1725,0.0,1102,626,99.361,"Eukaryota,SAR,Rhizaria,Cercozoa,Chlorarachniophyta,Minorisa,Minorisa sp. Y-YKI-01"
barcode01,cluster5,DQ317115.1.1756,DQ317115.1.1756,0.0,1161,666,99.249,"Eukaryota,Amorphea,Obazoa,Opisthokonta,Holozoa,Choanozoa,Metazoa,Animalia,BCP clade,Bilateria,Protostomia,Lophotrochozoa,Annelida,Polychaeta,Palpata,Sabellida,Ficopomatus enigmaticus"
